Name,Description,PointCost,PriceFactor,PriceOverride,isEpic,Categories,internType,Slots,Source,GUID
AdamantineArmorHeavyEnchant,"Adamantine is extremely strong and favored by weapon and armor smiths alike for its ability to cut through solid barriers with ease and endure heavy blows. Armor made from adamantine grants its wearer damage reduction of 1/— if it's light armor, 2/— if it's medium armor, and 3/— if it's heavy armor. Adamantine is so costly that weapons and armor made from it are always of masterwork quality; the masterwork cost is included in the prices given. Thus, adamantine weapons and ammunition have a +1 enhancement bonus on attack rolls, and the armor check penalty of adamantine armor is lessened by 1 compared to ordinary armor of its type. Items without metal parts cannot be made from adamantine. An arrow could be made of adamantine, but a quarterstaff could not.",0,,15000,,"Material, DR, Defensive, HitChance",Armor,Armor,TTRPG,933456ff83c454146a8bf434e39b1f93
AdamantineArmorLightEnchant,"Adamantine is extremely strong and favored by weapon and armor smiths alike for its ability to cut through solid barriers with ease and endure heavy blows. Armor made from adamantine grants its wearer damage reduction of 1/— if it's light armor, 2/— if it's medium armor, and 3/— if it's heavy armor. Adamantine is so costly that weapons and armor made from it are always of masterwork quality; the masterwork cost is included in the prices given. Thus, adamantine weapons and ammunition have a +1 enhancement bonus on attack rolls, and the armor check penalty of adamantine armor is lessened by 1 compared to ordinary armor of its type. Items without metal parts cannot be made from adamantine. An arrow could be made of adamantine, but a quarterstaff could not.",0,,5000,,"Material, DR, HitChance",Armor,Armor,TTRPG,5faa3aaee432ac444b101de2b7b0faf7
AdamantineArmorMediumEnchant,"Adamantine is extremely strong and favored by weapon and armor smiths alike for its ability to cut through solid barriers with ease and endure heavy blows. Armor made from adamantine grants its wearer damage reduction of 1/— if it's light armor, 2/— if it's medium armor, and 3/— if it's heavy armor. Adamantine is so costly that weapons and armor made from it are always of masterwork quality; the masterwork cost is included in the prices given. Thus, adamantine weapons and ammunition have a +1 enhancement bonus on attack rolls, and the armor check penalty of adamantine armor is lessened by 1 compared to ordinary armor of its type. Items without metal parts cannot be made from adamantine. An arrow could be made of adamantine, but a quarterstaff could not.",0,,10000,,"DR, Material",Armor,Armor,TTRPG,aa25531ab5bb58941945662aa47b73e7
AdamantineWeaponEnchantment,"Mined from rocks that fell from the heavens, this ultrahard metal adds to the quality of a weapon or suit of armor. Adamantine is so costly that weapons made from it are always of masterwork quality.",0,,3000,,Material,Weapon,Weapon,TTRPG,ab39e7d59dd12f4429ffef5dca88dc7b
AdditionalPiercingDamage,,+1,2000,,,,Weapon,Weapon,Owlcat+,5a6bac93089d3ec449f316d22826c5f4
AgainstHelplessPlus2,"Attacks with this weapon get an additional +2 enhancement bonus against stunned, paralyzed, nauseated and frightened targets.",+1,2000,,,"StatusAndCC, Bane",Weapon,Weapon,Owlcat,2fa378b52d997da4e814af3c48d88d35
Agile,"Agile weapons are unusually well balanced and responsive. A wielder with the Weapon Finesse feat can choose to apply her Dexterity modifier to damage rolls with an agile weapon in place of her Strength modifier (whichever is higher). This modifier to damage is not increased for two-handed weapons, but is still reduced for off-hand weapons.",+1,2000,,,AdditionalDamage,Weapon,Weapon,TTRPG,a36ad92c51789b44fa8a1c5c116a1328
AirKineticBladeEnchantment,,+1,2000,,,,Weapon,Weapon,Owlcat+,1d64abd0002b98043b199c0e3109d3ee
AizerghaulEnchantment,,+1,2000,,,,Weapon,,Owlcat+,abca42d73a734d33acab3761ada22ffc
AlchemistsClothEnchantment,,+1,1000,,,,Armor,,Owlcat+,5ac1350dbddabd745baad8170d4e9c05
AllRoundDefenseEnchatment,,+1,,,,,Other,,Owlcat+,4f444d9161590f84a928b2afb09c987e
ALR_GlovesEnchantment,,+1,,,,,Other,,Owlcat+,2b6a3d0a74d740faa06a2e0ad266b4a9
AmberLoveGlovesEnchantment,,+1,,,,,Other,,Owlcat+,09e9b14717e3e0c4cac13a8dbe091e5d
AmberLoveLightCrossbowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,2324aa11dd8b45549a6e3dcd1e47a2bb
AmberLustGlovesEnchantment,,+1,,,,,Other,,Owlcat+,9ab0f698388a92d459c9604e849a0adb
AmberLustLightCrossbowEnchantment,,+1,2000,,,,Weapon,,Owlcat+,99ee077a2bb409b41b77a5732f6d2de5
AmuletOfAlchemicKnowledgeEnchantment,,+1,,,,,Other,,Owlcat+,f3e428ffe59449258e7f151fb7167b6d
AmuletOfApothecaryEnchantment,,+1,,,,,Other,,Owlcat+,70282ab25bba29a459321cb4262954cf
AmuletofArodenBaneNonHumanEnchantment,,+1,,,,,Other,,Owlcat+,b1c0ffa352da4f5d961f24c25e74c1c0
AmuletofArodenEnchantment,,+1,,,,,Other,,Owlcat+,bf5be9df0f7046458341345c25588888
AmuletofArodenInvincibleMeleeEnchantment,,+1,,,,,Other,,Owlcat+,1e0cdf908032439e8b8213a828fdce4c
AmuletOfBlackenedMirrorEnchantment,,+1,,,,,Other,,Owlcat+,6b89e7b00bb7c4349b41b60ebee1882e
AmuletOfCirculatingBloodEnchantment,,+1,,,,,Other,,Owlcat+,5bfd6b8e0384c8c4eab70b554414ae2e
AmuletOfDeepRootsEnchantment,,+1,,,,,Other,,Owlcat+,24a50c7a581f493c9644d6e3714fc919
AmuletOfDeepWaterEnchantment,,+1,,,,,Other,,Owlcat+,e3694bec9b7012145847cd4b60de638c
AmuletOfDevourEnchantment,,+1,,,,,Other,,Owlcat+,c172e797b44649940a51bdad269a31f2
AmuletOfEpicSongsEnchantment,,+1,,,,,Other,,Owlcat+,d7f985d0fd4772243be30e06e3e7d400
AmuletOfEvilDoomEnchantment,,+1,,,,,Other,,Owlcat+,51bf2d87a2d77da43889f4231e6f9c3d
AmuletOfFourElementsEnchantment,,+1,1000,,,,Armor,,Owlcat+,e6f396c2cdcbe7344bc2e43d4c55c9ee
AmuletOfHiddenHorrorsEnchantment,,+1,,,,,Other,,Owlcat+,a3e6cbc71a5344738a89350e3acd0946
AmuletOfImposingPhysiqueEnchantment,,+1,,,,,Other,,Owlcat+,9b96fc6d3d86741489e0815941263f10
AmuletofInitiativeEnchantment,,+1,1000,,,,Armor,,Owlcat+,de1d3eee66d7cff478b55384dcbd735d
AmuletOfInnerSightEnchantment,,+1,,,,,Other,,Owlcat+,63e82caadc1eb3847b14fd471ad5bdc4
AmuletOfInnerVirtueEnchant,,+1,1000,,,,Armor,,Owlcat+,d28afa632e59ec744801bef600c137ca
AmuletOfJoustingEnchantment,,+1,,,,,Other,,Owlcat+,30bbe86f50acfb74e9a5b06849dd16bc
AmuletOfNaturalArmor7ExtraEnchantment,,+1,,,,,Other,,Owlcat+,7b9af1df333b4003b07d16f164645929
AmuletofPersuasionEnchant,,+1,1000,,,,Armor,,Owlcat+,c85eeb918a05ed644903b75e26558fc7
AmuletOfQuickDrawEnchantment,,+1,,,,,Other,,Owlcat+,51af11696450e964d800baf012db732f
AmuletOfSpellsEnchant,,+1,1000,,,,Armor,,Owlcat+,5df93a1f35c64a9439089b91faae1d15
AmuletOfTheDyingWisdomEnchantment,,+1,,,,,Other,,Owlcat+,84b63c1516d208247bceec28d6b6b38d
AmuletOfUnforgivingElementsEnchantment,,+1,,,,,Other,,Owlcat+,f2729da6c21397f408b63d57a24e05d4
Anarchic,An anarchic weapon is infused with the power of chaos. It makes the weapon chaotically aligned and thus bypasses the corresponding damage reduction. It deals an extra 2d6 points of damage against all creatures of lawful alignment.,+2,2000,,,"Alignment, AdditionalDamage",Weapon,Weapon,TTRPG,57315bc1e1f62a741be0efde688087e9
AncestralDwarwenShieldEnchantment,DR 2/-,+1,,,,"Defensive, DR",Other,Shield,Owlcat+,0c96b611460bb254cbe9fdbfe7dbbdad
AncientWoodEnchantment,,+1,,,,,Other,,Owlcat+,54276e617b5d4f2fa889a53e5271afff
AngelSwordEnchantment,,+1,2000,,,,Weapon,,Owlcat+,8a24f0fa51f3a2843be5aec58befefb6
AnimalisticPerseveranceEnchantment,,+1,1000,,,,Armor,,Owlcat+,c7090597a05e40409426d2779f6f3c4b
AnimatedWeaponPoisonEnchant,"Whenever this weapon lands a hit, the target must succeed at a Fortitude save (DC 37) or become poisoned, suffering the effects similar to those of an iron golem's poison.",+1,2000,,,"StatusAndCC, DC",Weapon,Weapon,Owlcat+,f70c01b2c3fa4550929d869242f1f281
AnnihilatorEnchantment,,+1,2000,,,,Weapon,,Owlcat+,8a81f8592efd70e4aa2ff95d57e1626e
ApprenticeRobeEnchantment,,+1,1000,,,,Armor,,Owlcat+,90c5b1c7c443cec44af9f7bac0fc4db8
ArachnidGogglesEnchantment,,+1,,,,,Other,,Owlcat+,3b8b841e1e65494b9dd2034fb4ae07f9
ArbitersRobeEnchant,,+1,1000,,,,Armor,,Owlcat+,32c3e168f4b053f4c88c8ae71b22e242
ArcaneArmorBalancedEnchant,"This armor pushes back against anything that threatens to knock its wearer to the ground. The wearer gains a +4 bonus to CMD against grapple, trip and overrun combat maneuvers.",+1,1000,,,Defensive,Armor,Armor,Owlcat+,53fba8eec3abd214b98a57b12d7ad0a7
ArcaneArmorInvulnerabilityEnchant,This suit of armor grants the wearer DR 5/magic.,+1,1000,,,"Defensive, DR",Armor,Armor,Owlcat+,4ffa3c3d5f6cdfb4eaf15f11d8e55bd1
ArcaneArmorShadowEnchant,"This armor blurs the wearer whenever they try to hide, while also dampening the sound around them, granting a +5 competence bonus on Stealth skill checks. The armor's armor check penalty still applies normally.",0,,3750,,Skill,Armor,Armor,Owlcat+,4e916cbeced676f4e83e02ac65dc562c
ArcaneArmorShadowGreaterEnchant,"As shadow, except it grants a +15 competence bonus on Stealth skill checks.",0,,33750,,Skill,Armor,Armor,TTRPG,dd8f2032f05d72740961fc95201a5b15
ArcaneEnforcerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,c61988ac4121223468471c301da4709f
ArcaneProtectorEnchant,,+1,2000,,,,Weapon,,Owlcat+,d3118dd2796883645a56c888880ecfba
ArcheryEnchantment,,+1,,,,,Other,,Owlcat+,366f3ce5832e547489a13ce6101d411e
ArcheryLesserEnchantment,,+1,,,,,Other,,Owlcat+,d695146c6c6dcfd48980406a280faca1
ArdentEnchantment,,+1,2000,,,,Weapon,,Owlcat+,d789f454dad251e4eae200350f8cbac9
ArdentGuardEnchantment,,+1,1000,,,,Armor,,Owlcat+,a33fc857e685461e8b34729598817c20
ArmagsBladeSpellsEnchant,,+1,2000,,,,Weapon,,Owlcat+,379d6169631ca244fab1df99830cec5d
ArmExtendersEnchantment,,+1,,,,,Other,,Owlcat+,f48815cda43c4b2c85cb22eee94cfa95
ArmorBandedMailArmyEnchantment,,+1,1000,,,,Armor,,Owlcat+,dad67af5200dd28428c178495df33937
ArmorBonus1,Grants a +1 armor bonus to AC.,+1,1000,,,,Other,Armor,Owlcat+,183e268ab1ba71a47b548b9408e34ae0
ArmorBonus10,Grants a +10 armor bonus to AC.,+10,1000,,TRUE,,Other,Armor,TTRPG,2934c1a033db4cd9bf56cc3eb60fd94e
ArmorBonus2,Grants a +2 armor bonus to AC.,+2,1000,,,,Other,Armor,Owlcat+,761cb57f05e40e04281f6b930175f290
ArmorBonus3,Grants a +3 armor bonus to AC.,+3,1000,,,,Other,Armor,Owlcat+,8b35eda0cd2ab994cbfb41bbb14756a1
ArmorBonus4,Grants a +4 armor bonus to AC.,+4,1000,,,,Other,Armor,Owlcat+,7ee8802804a2b05478b19042fc3ddcf8
ArmorBonus5,Grants a +5 armor bonus to AC.,+5,1000,,,,Other,Armor,Owlcat+,25ea4926377d23b48bf6f225e8a831a3
ArmorBonus6,Grants a +6 armor bonus to AC.,+6,1000,,,,Other,Armor,Owlcat+,f4088bbd8c450ae4498c056f932d1c8e
ArmorBonus7,Grants a +7 armor bonus to AC.,+7,1000,,,,Other,Armor,Owlcat+,04a1ff33d8f45de46a3ba819aa343a1e
ArmorBonus8,Grants a +8 armor bonus to AC.,+8,1000,,,,Other,Armor,Owlcat+,eff702c8c75385e409de56c32b81c48b
ArmorBonus9,Grants a +9 armor bonus to AC.,+9,1000,,TRUE,,Other,Armor,TTRPG,9f8aaff68c574f5d8770a64db6102006
ArmorChainshirtEvilEnchantment,,+1,1000,,,,Armor,,Owlcat+,6e87e3b4629664443a8614a8f02f02d4
ArmorEnhancementBonus1,This armor provides a +1 enhancement bonus to Armor Class. The armor check penalty of magic armor is lessened by 1 compared to ordinary armor of its type.,+1,1000,,,"AC, Defensive",Armor,Armor,TTRPG,a9ea95c5e02f9b7468447bc1010fe152
ArmorEnhancementBonus2,,+2,1000,,,"AC, Defensive",Armor,Armor,TTRPG,758b77a97640fd747abf149f5bf538d0
ArmorEnhancementBonus3,,+3,1000,,,"AC, Defensive",Armor,Armor,TTRPG,9448d3026111d6d49b31fc85e7f3745a
ArmorEnhancementBonus4,,+4,1000,,,"AC, Defensive",Armor,Armor,TTRPG,eaeb89df5be2b784c96181552414ae5a
ArmorEnhancementBonus5,,+5,1000,,,"AC, Defensive",Armor,Armor,TTRPG,6628f9d77fd07b54c911cd8930c0d531
ArmorEnhancementBonus6,This armor provides a +6 enhancement bonus to Armor Class. The armor check penalty of magic armor is decreased by 1 compared to ordinary armor of its type.,+6,1000,,TRUE,"AC, Defensive",Armor,Armor,TTRPG,de15272d1f4eb7244aa3af47dbb754ef
ArmorEnhancementRusty,Broken armor gives half as much AC as it usually would. Its armor check penalty is doubled.,0,,0,,"PenaltiesAndCursed, AC",Armor,Armor,Owlcat,d18d9f4e2caf4a79ba597036b5e21aca
ArmorOfDispersionEnchantment,,+1,1000,,,,Armor,,Owlcat+,41f845800dde4b04e98d21340e265fb4
ArmorOfVigilanceEnchantment,,+1,1000,,,,Armor,,Owlcat+,c150bcd4036abc3429b2f66b99aa0d8e
ArmorOfVigilantSproutsEnchantment,,+1,1000,,,,Armor,,Owlcat+,0125c8222c75e03488881d05d646bc5b
ArmorOfWealthEnchant,,+1,1000,,,,Armor,,Owlcat+,945f6ff5a49343246a02015142b9004a
ArrowCatcherEnchantment,,+1,1000,,,,Armor,,Owlcat+,2940acde07f54421b8bd137dc7b2a6fa
ArrowDeflectionEnchantment,This shield protects the wielder as if they had the Deflect Arrows feat.,+2,1000,,,Defensive,Armor,Shield,TTRPG,faf86f0f02b30884c860b675a0df8e2e
ArrowguardBucklerEnchantment,,+1,,,,,Other,,Owlcat+,c2e7af6f0d5444247b3eaf0162cff102
Artifact_AeonCloakEnchantment,,+1,,,,,Other,,Owlcat+,4720a88cdc8e47fe8526041cdfe2a5a4
Artifact_AngelCloakEnchantment,,+1,,,,,Other,,Owlcat+,10b62f56302c49c887d53787948c5cda
Artifact_AzataCloakEnchantment,,+1,,,,,Other,,Owlcat+,6f98cfca5c3349e5b84234d2b0de1528
Artifact_DemonCloakEnchantment,,+1,,,,,Other,,Owlcat+,cac396c6bf504897a713e631eaa29334
Artifact_DemonicHelmetEnchantment,,+1,,,,,Other,,Owlcat+,55c633ac6777427e9fc8cff956eba091
Artifact_DevilCloakEnchantment,,+1,,,,,Other,,Owlcat+,3d4e6d1891274d359231146377d8e5a6
Artifact_DragonCloakEnchantment,,+1,,,,,Other,,Owlcat+,9d7b562fa7e44ae281963716fc00b91b
Artifact_FeetEnchantment,,+1,,,,,Other,,Owlcat+,0f22f4c02677e6a4aaf82d7b2942b6fc
Artifact_HornsOfNaragaEnchantment,,+1,,,,,Other,,Owlcat+,cfc471e400ad4d888b1761a90793ae0d
Artifact_LegendCloakEnchantment,,+1,,,,,Other,,Owlcat+,b2ba70c11729488184073ba9c1f1c463
Artifact_LichCloakEnchantment,,+1,,,,,Other,,Owlcat+,79a17694ce3944a7b10e6bea48a7688e
Artifact_LocustCloakEnchantment,,+1,,,,,Other,,Owlcat+,f6487579bcb34d63ba686f1cd979d6c0
Artifact_RingOfSummonsEnchantment,,+1,,,,,Other,,Owlcat+,192817abfa805044bbbd002a6bc687bb
Artifact_SpikedGauntletEnchantment,,+1,,,,,Other,,Owlcat+,e3e9bf758c2f42b4fbacf3f711b58fa1
Artifact_TigerArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,700b46713b3ff484c80b0df5f4674377
Artifact_TricksterCloakEnchantment,,+1,,,,,Other,,Owlcat+,86a60874bdeb4e999b4fa18310100574
ArtificeBlessingMinorWeaponEnchantment,,+1,2000,,,,Weapon,,Owlcat+,85cc0eb7659649e9b9ce6a6e7960311b
AshmakerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,3cf303da46e98c54d857a9a7ef5a58a2
AspectOfTheAspEnchantment,,+1,,,,,Other,,Owlcat+,e935c1458b36b904fad1f823d3095c9b
AssailantsBeltEnchantment,,+1,,,,,Other,,Owlcat+,c02a67098ab9da647b25eead5ece3e41
AssassinsChainshirtEnchant,,+1,1000,,,,Armor,,Owlcat+,c85f21bc700e11b45bb117d3fce33491
AssassinsEdgeEnchantment,,+1,2000,,,,Weapon,,Owlcat+,3bd1ae7c49dbf58489437f13f5d16ac5
AssertionOfDominanceArmorEnchantment,,+1,1000,,,,Armor,,Owlcat+,4f0700bdbf8c4c99a4bb491377caf5ca
AstringentPacifierEnchantment,,+1,2000,,,,Weapon,,Owlcat+,b5d3a19e9a7f436aa7396b18e81c2cc7
AsziteArmorEnchantment,"The navy-blue ore known as aszite absorbs any light around it. The wearer of aszite-veined armor gains a +5 circumstance bonus on Stealth checks. If the wearer is wielding a druchite weapon, the usual chance that the enemy will not notice an attack made with the weapon increases to 20%.",0,,2000,,"Skill, Material",Armor,Armor,Owlcat+,b6dff2f7ec3e4a4bbc5090d27752b465
AtrocitiesEnchantment,,+1,2000,,,,Weapon,,Owlcat+,9b476bfa2b2e99e4eaff8b08c6e5009f
AttritionDaggerEnchantment,,+1,2000,,,,Weapon,,Owlcat+,09d1b5ef72af22e4aaa6b9b3d75ba4a1
AugmentedPlateEnchant,,+1,1000,,,,Armor,,Owlcat+,def6e6e78b2bf0842b2fb075704c2739
AuthorityHeavyMaceEnchantment,,+1,2000,,,,Weapon,,Owlcat+,4ad9b95c644637343bffb072fc53b611
AvalancheHeavRepCrossBowAddDama2,,+1,2000,,,,Weapon,,Owlcat+,ac58b7c26ba3c2c47bddc9fe14265e76
AvengingRingEnchantment,,+1,,,,,Other,,Owlcat+,3f58cc3d333449d47b58fe9791eeb693
AwakenedDriftwoodEnchantment,,+1,2000,,,,Weapon,,Owlcat+,eaa613cc9d68af144ae62f3bd6c1eba4
Axiomatic,An axiomatic weapon is infused with lawful power. It makes the weapon law-aligned and thus bypasses the corresponding damage reduction. It deals an extra 2d6 points of damage against chaotic creatures.,+2,2000,,,"Alignment, AdditionalDamage, DR",Weapon,Weapon,TTRPG,0ca43051edefcad4b9b2240aa36dc8d4
BackrankAssistanceEnchantment,,+1,,,,,Other,,Owlcat+,631f982ad339c054b9d2057f60f74055
BadTemperEnchantment,,+1,2000,,,,Weapon,,Owlcat+,1eb8e359c4f0e1a43b2df194b4ab54de
BalancedDefenderEnchantment,,+1,2000,,,,Weapon,,Owlcat+,e398650c196635c4e93cfcc8cc1d06a5
BanditLightMaceEnchantment,,+1,2000,,,,Weapon,,Owlcat+,801f3c4448a9955428ee16bd32166370
BaneAberration,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"AdditionalDamage, Bane, HitChance",Weapon,Weapon,TTRPG,ee71cc8848219c24b8418a628cc3e2fa
BaneAnimal,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,78cf9fabe95d3934688ea898c154d904
BaneConstruct,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"AdditionalDamage, Bane, HitChance",Weapon,Weapon,TTRPG,73d30862f33cc754bb5a5f3240162ae6
BaneDragon,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage",Weapon,Weapon,TTRPG,e5cb46a0a658b0a41854447bea32d2ee
BaneEverything,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+3,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,Owlcat,1a93ab9c46e48f3488178733be29342a
BaneFey,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,b6948040cdb601242884744a543050d4
BaneHumanoid,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,,Weapon,,TTRPG,a286a93eaeee466db974ad2c3d450624
BaneHumanoidGiant,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,dcecb5f2ffacfd44ead0ed4f8846445d
BaneHumanoidGiant2d6,Against a designated foe it deals an extra 2d6 points of damage.,+1,2000,,,"Bane, AdditionalDamage",Weapon,Weapon,TTRPG,1e25d1f515c867d40b9c0642e0b40ec2
BaneHumanoidReptilian,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,c4b9cce255d1d6641a6105a255934e2e
BaneLiving,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,Owlcat,e1d6f5e3cd3855b43a0cb42f6c747e1c
BaneLongshankEnchant,"A bane weapon excels against certain foes. This weapon is designated against Giants, Humans, Elves, Orcs and other humanoids goblins call longshanks. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+2,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,Owlcat,92a1f5db1a03c5b468828c25dd375806
BaneLycanthrope,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,188efcfcd9938d44e9561c87794d17a8
BaneMagicalBeast,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,97d477424832c5144a9413c64d818659
BaneMonstrousHumanoid,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,c5f84a79ad154c84e8d2e9fe0dd49350
BaneNonHuman,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,,Weapon,,Owlcat+,eb2b2e9f741e4cc18edc47cbb1387e02
BaneOfTheLivingEnchantment,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,,Weapon,,Owlcat+,a6c6bab27c8572246afd722f6be0ee2a
BaneOrcGoblin,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,0391d8eae25f39a48bcc6c2fc8bf4e12
BaneOrcGoblin1d6,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,,Weapon,,Owlcat+,ab0108b67cfc2a849926a79ece0fdddc
BaneOutsiderChaotic,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Alignment, Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,234177d5807909f44b8c91ed3c9bf7ac
BaneOutsiderEvil,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,20ba9055c6ae1e44ca270c03feacc53b
BaneOutsiderGood,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"AdditionalDamage, Bane, Alignment",Weapon,Weapon,TTRPG,a876de94b916b7249a77d090cb9be4f3
BaneOutsiderLawful,"A bane weapon excels against certain foes. Against a designated foe, the weapon's enhancement bonus is +2 better than its actual bonus. It also deals an extra 2d6 points of damage against such foes.",+1,2000,,,"Bane, AdditionalDamage, HitChance",Weapon,Weapon,TTRPG,3a6f564c8ea2d1941a45b19fa16e59f5
